"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU183.p:Evosea-Evosea_X.g:AND16-lineage_X",0,1,1,6,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU184.p:Chlorophyta-Chlorophyta_X.g:Bracteacoccus",2,2,2,1,1,1,1,0,0,4,0,1,5,1,0,5,2,0,0,5,15,7,4,9,6
"OTU185.p:Chlorophyta-Chlorophyta_X.g:Tetracystis",1,4,0,0,0,1,1,0,5,1,1,0,3,1,1,2,0,16,2,8,0,4,0,8,4
"OTU188.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_ANT10_3",1,3,7,1,0,0,0,0,9,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"OTU189.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",1,1,1,0,1,1,0,1,1,1,0,0,6,0,1,6,4,5,8,4,1,0,0,0,0
"OTU192.p:Evosea-Evosea_X.g:Variosea_XXX",0,2,0,0,2,1,401,1,0,0,1,5,3,0,0,0,4,1,0,0,0,0,4,0,0
"OTU196.p:Alveolata-Ciliophora.g:Oxytricha",0,0,0,0,3,0,1,2,1,3,0,0,3,0,2,0,3,1,0,0,5,0,2,0,0
"OTU197.p:Alveolata-Ciliophora.g:Eschaneustyla",4,0,4,0,11,2,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"OTU199.p:Evosea-Evosea_X.g:Variosea_XXX",3,0,1,0,2,2,1,1,1,2,1,0,4,1,3,2,3,12,3,0,0,0,0,0,0
"OTU200.p:Haptophyta-Haptophyta_X.g:Isochrysis",0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
