"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU158.p__Basidiomycota.g__Tremellomycetes_gen_Incertae_sedis",42,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU159.p__Basidiomycota.g__Basidiomycota_gen_Incertae_sedis",0,0,0,0,2,0,1,1,18,3,0,0,2,0,1,0,1,0,0,0,2,0,1,2,0
"OTU160.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",1,11,0,1,0,0,0,9,0,16,1,1,5,0,4,96,2,2,0,0,3,0,2,0,0
"OTU161.p__Basidiomycota.g__Agaricales_gen_Incertae_sedis",0,0,0,0,3,2,20,3,4,10,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"OTU162.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0
"OTU163.p__Ascomycota.g__Hypocreales_gen_Incertae_sedis",0,0,1,1,0,0,44,0,0,47,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
"OTU164.p__Ascomycota.g__Fusarium",9,0,1,1,4,0,0,0,2,0,2,0,0,0,0,2,0,2,3,7,0,0,0,2,2
"OTU165.p__Basidiomycota.g__Vishniacozyma",1,0,1,1,0,0,2,4,0,3,2,0,0,0,0,0,0,0,1,1,0,3,121,1,0
"OTU166.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",2,0,1,3,3,1,2,2,2,1,2,0,2,0,0,0,0,0,0,1,1,14,57,14,18
"OTU167.p__Basidiomycota.g__Tausonia",0,0,0,0,0,0,2,8,1,0,0,9,0,0,6,0,4,1,0,0,7,7,10,1,4
"OTU168.p__Ascomycota.g__Bipolaris",0,11,0,0,2,1,1,0,0,3,0,1,0,24,0,0,0,0,0,0,0,1,2,0,1
"OTU169.p__Ascomycota.g__Microascus",1,0,1,0,3,1,1,0,0,3,3,0,0,0,0,42,0,10,2,51,0,0,0,2,0
"OTU170.p__Ascomycota.g__Cyphellophora",12,0,0,1,0,0,0,0,2,17,2,0,7,1,2,0,0,0,0,0,1,0,0,0,0
